# key_policy=per_sample_key rounds=6 n_pairs=10000 seed=100005
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
32227,37008,17819,42424,14456,13608,60787,57379,1
27132,2952,22273,50955,16125,52355,25204,36874,0
33308,65126,13293,26181,45553,38947,31866,21928,1
21199,18411,63519,28477,43728,10454,5412,38690,0
17034,61820,15108,5750,31118,59146,46070,11634,1
62175,27455,5812,46887,58475,56344,39392,41363,0
30575,24422,41059,45675,55052,60685,10249,4616,1
57949,15552,61872,53880,5101,61112,56989,9160,0
42089,45398,30506,35382,54083,15200,5439,64796,1
44913,34334,47687,17733,5430,50011,10607,65282,0
51391,15790,28520,20692,42967,28026,62737,16316,1
34531,63367,13007,3122,46124,64437,29028,16125,0
43431,49857,36413,29348,10138,45157,27494,64665,1
32252,36965,34877,37289,62913,460,60825,6548,0
42881,50446,15786,29960,39467,45062,25231,18594,1
64354,37164,10620,30066,53790,58462,27214,23566,0
63937,7584,55264,65116,11809,58364,58465,10684,1
44354,5117,51140,7316,27270,3945,48831,56144,0
38655,43487,13671,45544,41880,6199,16160,33935,1
7325,7170,52909,48691,53808,41521,159,28830,0
29914,43670,12022,39864,23084,12590,56908,46414,1
52588,46751,30929,28212,46525,55467,31731,5861,0
4420,49821,42440,62787,46220,14302,54233,20619,1
63803,20220,21613,38042,44374,55910,47047,49399,0
56169,35178,18337,22369,40136,56843,20995,4288,1
7241,57643,41193,8530,48288,49273,64866,33211,0
3117,50699,47048,61483,48101,13856,51750,18403,1
35185,34545,39029,46948,4356,12693,3968,12049,0
55514,27388,11730,28826,62728,6758,45606,23880,1
32817,1580,33048,55641,297,57205,34333,22593,0
60530,6464,27824,43293,32962,45149,62770,50605,1
54407,33875,48061,24710,28474,58581,20692,56123,0
2701,26814,24800,4389,27245,31131,25139,29125,1
20946,18082,24618,50879,12792,32797,6000,42645,0
12306,53086,45313,65054,33043,12608,65356,20255,1
44364,35947,39288,35876,13364,79,8487,5468,0
45188,37600,39182,60474,10634,32474,8804,30004,1
