# key_policy=split_keyset rounds=7 n_pairs=10000 seed=42
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
15003,6150,35337,57617,45202,63767,8861,27416,1
30469,48366,47135,53242,53018,29460,52203,30693,0
65085,4595,61623,28906,3722,24857,61390,32861,1
12290,30106,6405,7002,10503,28352,17816,607,0
21832,6295,54090,38288,34306,36103,19935,18138,1
19894,58625,55027,22190,39749,45999,43191,32861,0
55877,4514,12000,34333,62629,38847,52199,43261,1
19658,2669,63738,29639,46128,31146,18087,35645,0
16052,10845,61582,16793,52794,27588,5353,45335,1
64506,55123,47072,42916,19482,28919,11433,4164,0
9722,55971,56139,5562,65201,53017,65369,52977,1
49361,35519,24346,39642,40907,4197,19054,50624,0
6670,7627,22401,9220,19855,14799,1989,29573,1
64639,22155,22513,43586,43918,64713,43764,64947,0
26256,1505,32615,13300,6647,13845,25457,19603,1
27205,16926,62889,31689,40940,14807,10331,36448,0
21660,7852,31626,13351,12054,10891,18992,20397,1
16417,54972,4433,46391,20848,25483,38557,42086,0
47727,29513,48090,47598,437,51879,51494,564,1
49675,30035,48012,34513,31111,62338,46936,15709,0
47795,27181,19602,30126,63009,8067,53406,14652,1
14077,2185,63041,5309,49340,7220,15988,58108,0
31093,31923,55303,57551,41330,40060,1478,14536,1
9134,26053,1307,21724,9909,12569,18027,20935,0
55725,14161,65283,29999,9902,17022,61180,35372,1
61233,27545,18547,56844,42818,46485,33960,38527,0
14324,8846,41045,45906,38817,37340,5498,4871,1
41397,18080,52132,5160,27153,21128,59157,57228,0
61535,28849,779,26965,62292,6628,33006,27230,1
47024,43044,9162,13892,38010,40544,8084,5518,0
54875,24008,33146,36411,22305,54259,35731,3905,1
65337,43520,27937,2384,37400,41808,21817,25713,0
4360,23883,15913,22359,12065,2588,19523,27006,1
63953,61959,41300,29907,22661,34516,3030,54663,0
52435,17651,38007,29231,22692,14044,34848,58968,1
40233,49886,19002,40785,55059,23951,24567,54635,0
35745,55610,34417,51667,3536,4329,21147,20386,1
8341,16476,2585,48085,10892,64393,24777,45516,0
45234,16254,56925,4372,28399,11882,36812,53065,1
36349,40401,12818,42520,49135,15305,4140,37898,0
36501,53671,30659,19326,63830,39641,24370,15549,1
33378,33140,61919,23516,29629,55976,790,43523,0
4204,51572,15567,1573,11427,53073,55576,15082,1
57886,16626,40510,60140,31776,43550,41708,29906,0
10279,6575,3040,20959,9159,18544,12680,23103,1
22142,55247,33174,57529,55272,14198,33201,24879,0
43233,26757,28795,11934,55450,17947,49252,24293,1
38602,8271,26360,56534,61490,64665,46725,47662,0
46948,9143,44605,58291,6489,49156,38099,19854,1
57951,27665,16027,15997,56516,21100,36430,230,0
7236,53618,33680,26478,40916,46620,52534,58622,1
61651,54896,37099,53985,24632,1169,9891,16906,0
11143,20905,5489,10278,16118,31119,31278,15703,1
50333,37575,1615,65170,49874,27733,22106,63709,0
28794,23597,6900,24749,27278,15488,11351,31321,1
36541,22465,25151,4032,60546,22529,55676,28159,0
46895,30541,30527,21446,49168,9355,49250,9465,1
51734,33081,55508,41476,4802,9021,19247,31440,0
36231,3916,51267,47432,17860,46596,33483,28939,1
54706,38154,29086,41667,42028,14281,16568,54109,0
20489,39621,62976,13598,42505,45019,51916,49950,1
37033,34756,57747,35645,28986,3321,5997,27310,0
12536,25537,22788,39312,27132,64081,21305,49300,1
34684,44812,53721,62843,22181,23159,10352,9378,0
64975,27426,34499,57361,31500,35635,38637,26322,1
45300,58384,21083,52056,58031,12104,21732,39171,0
20985,27915,5351,11485,17694,16854,15602,14394,1
3119,33564,5421,8898,6402,41438,36659,14319,0
2135,39403,40860,5649,38859,36858,37308,35213,1
19812,37568,64627,8778,45335,45194,57252,56889,0
10160,33066,31108,11301,24116,44303,42650,21921,1
42658,42173,47989,5286,7639,45083,543,45011,0
24197,42717,46074,32209,60799,56076,63576,52779,1
26050,544,36691,39395,60049,39875,26594,5808,0
40631,35251,3890,31749,37253,62902,5892,29495,1
3227,43312,21708,53797,22615,31509,42411,34537,0
4112,50336,47265,53019,43185,3003,54448,30650,1
26287,61592,54784,59801,45231,6401,38455,16281,0
57464,46362,43222,51587,18606,31897,21858,24917,1
39556,39752,40398,416,1866,39656,460,40046,0
15039,51034,64912,52746,50991,2384,64997,13210,1
62308,59695,11815,29918,56643,40433,6731,23289,0
46803,2026,17318,64735,62837,64309,45369,49017,1
15635,12804,1607,33683,15188,45463,3863,34260,0
